Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6442c152b2df3bc1fc41c118,5d2759b64e5e3c00164fe922,APPROVED,2023-04-21T17:01:06.126000Z,2023-04-21T17:34:08.210000Z,2023-04-21T17:34:08.685000,2023-04-21T17:34:08.625567Z,1983,C16AD8BI,141,"English, Hungarian",Undergraduate degree (BA/BSc/other),21,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
6442c15ae03ce474bbfcfd98,5f14e794a89ac35a3f89801d,APPROVED,2023-04-21T17:01:14.253000Z,2023-04-21T17:25:16.129000Z,2023-04-21T17:25:18.361000,2023-04-21T17:25:18.261319Z,1442,C16AD8BI,136,"English, Afrikaans",High school diploma/A-levels,28,Female,Mixed,South Africa,South Africa,South Africa,English,Yes,Part-Time
6442c15dc46cf16584ab2c4d,60f5225af314d1b238df4379,APPROVED,2023-04-21T17:01:23.682000Z,2023-04-21T17:28:36.459000Z,2023-04-21T17:28:37.418000,2023-04-21T17:28:37.348794Z,1633,C16AD8BI,17,English,Undergraduate degree (BA/BSc/other),23,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6442c16a2349053b40fcfd67,60f82f556af4c285a10d6fa0,APPROVED,2023-04-21T17:01:30.355000Z,2023-04-21T17:31:34.251000Z,2023-04-21T17:31:36.653000,2023-04-21T17:31:36.587901Z,1804,C16AD8BI,85,English,Undergraduate degree (BA/BSc/other),24,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
6442c16f521b24773b85c634,602406d7cb1a9003573e38af,APPROVED,2023-04-21T17:01:35.522000Z,2023-04-21T17:17:59.498000Z,2023-04-21T17:17:59.988000,2023-04-21T17:17:59.919214Z,984,C16AD8BI,197,"Polish, English",High school diploma/A-levels,22,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
6442c171dee7780471813523,614b2827c28c7d615cdfe0f3,APPROVED,2023-04-21T17:01:40.700000Z,2023-04-21T17:11:10.866000Z,2023-04-21T17:11:11.366000,2023-04-21T17:11:11.300499Z,571,C16AD8BI,367,English,Undergraduate degree (BA/BSc/other),29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6442c1813737fbee2a1943d9,5e98a31c1bd10f0c8f6188be,APPROVED,2023-04-21T17:01:59.053000Z,2023-04-21T17:42:09.183000Z,2023-04-21T17:42:09.665000,2023-04-21T17:42:09.601182Z,2411,C16AD8BI,50,"English, Hungarian",Undergraduate degree (BA/BSc/other),26,Female,White,Hungary,Hungary,Hungary,Hungarian,Yes,Full-Time
6442c187b3d522ade3f9288e,6124ce8352f12920a238d3fb,APPROVED,2023-04-21T17:02:15.498000Z,2023-04-21T17:32:56.555000Z,2023-04-21T17:32:57.218000,2023-04-21T17:32:57.159191Z,1842,C16AD8BI,148,English,Graduate degree (MA/MSc/MPhil/other),24,Female,Black,South Africa,South Africa,South Africa,English,No,Part-Time
6442c18bb510537ada13bea0,5f124d02a5aa811a0908754b,APPROVED,2023-04-21T17:02:03.484000Z,2023-04-21T17:21:20.162000Z,2023-04-21T17:21:20.663000,2023-04-21T17:21:20.593031Z,1157,C16AD8BI,151,"English, Portuguese",Undergraduate degree (BA/BSc/other),25,Male,White,United Kingdom,Portugal,Portugal,Portuguese,Yes,Part-Time
6442c19bcfee20bac7813550,60fc6d93a191bc5ebe572121,APPROVED,2023-04-21T17:04:16.184000Z,2023-04-21T17:18:53.007000Z,2023-04-21T17:18:53.529000,2023-04-21T17:18:53.446171Z,877,C16AD8BI,135,English,Undergraduate degree (BA/BSc/other),24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6442c1a4758f5f047c1e1590,5cbf6908d074ee00016accb2,APPROVED,2023-04-21T17:02:28.059000Z,2023-04-21T17:37:07.105000Z,2023-04-21T17:37:07.917000,2023-04-21T17:37:07.870154Z,2080,C16AD8BI,236,English,Graduate degree (MA/MSc/MPhil/other),38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6442c1d63ae14eac14e701f5,612f85f03f9d73eab39f8d58,APPROVED,2023-04-21T17:03:40.246000Z,2023-04-21T17:59:55.965000Z,2023-04-24T14:54:10.712000,2023-04-21T17:59:56.466269Z,3376,NOCODE,114,English,Undergraduate degree (BA/BSc/other),25,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6442c1d6763766612e3971fc,5fb06c5ed64e5a453208ebed,APPROVED,2023-04-21T17:03:29.674000Z,2023-04-21T17:17:34.472000Z,2023-04-21T17:17:34.913000,2023-04-21T17:17:34.847406Z,845,C16AD8BI,40,"English, Polish, French",Undergraduate degree (BA/BSc/other),23,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
6442c1dcb510537ada13beba,5ed9fe560adb8b5a860d8d80,APPROVED,2023-04-21T17:03:29.011000Z,2023-04-21T17:20:25.362000Z,2023-04-21T17:20:37.441000Z,2023-04-21T17:20:40.619535Z,1017,C16AD8BI,426,"English, Spanish",High school diploma/A-levels,22,Female,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Other
6442c1e2b2df3bc1fc41c13b,605d34ffa51bd5dd5f8fad8e,APPROVED,2023-04-21T17:03:38.595000Z,2023-04-21T17:21:16.030000Z,2023-04-21T17:21:16.587000,2023-04-21T17:21:16.500783Z,1058,C16AD8BI,1,English,High school diploma/A-levels,26,Male,Other,Chile,Chile,Chile,Spanish,Yes,Unemployed (and job seeking)
6442c1ecadda1b05f73f9ebe,613aa5b38a947f3d3e6a8b4d,APPROVED,2023-04-21T17:03:40.679000Z,2023-04-21T17:39:40.710000Z,2023-04-21T17:39:41.170000,2023-04-21T17:39:41.100609Z,2161,C16AD8BI,215,"English, Spanish",Undergraduate degree (BA/BSc/other),22,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Full-Time
6442c2398ec37d48edb3d645,5f904351a0209d0b4484a3a4,APPROVED,2023-04-21T17:05:00.091000Z,2023-04-21T17:36:54.091000Z,2023-04-21T17:36:54.549000,2023-04-21T17:36:54.488762Z,1914,C16AD8BI,320,"Polish, English",Undergraduate degree (BA/BSc/other),34,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
6442c5e90737e8affe27aa5d,5db20e14aa1295000bd72015,APPROVED,2023-04-21T17:20:51.726000Z,2023-04-21T17:43:43.925000Z,2023-04-21T17:43:44.438000,2023-04-21T17:43:44.358757Z,1373,C16AD8BI,154,"English, Portuguese",Undergraduate degree (BA/BSc/other),25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
6442d8885d2a16d2f75d66e8,5fa23c9b64b18a4067cc842e,APPROVED,2023-04-21T18:41:05.183000Z,2023-04-21T19:12:36.551000Z,2023-04-21T19:12:37.321000,2023-04-21T19:12:37.226029Z,1892,C16AD8BI,652,"English, Finnish, Vietnamese",Graduate degree (MA/MSc/MPhil/other),36,Male,Asian,Vietnam,Finland,Vietnam,Vietnamese,DATA_EXPIRED,DATA_EXPIRED
6442d88cf8f3ebcf346368fa,63ee9abfa262bea95766dd9c,APPROVED,2023-04-21T18:41:08.674000Z,2023-04-21T18:57:50.744000Z,2023-04-21T18:57:51.448000,2023-04-21T18:57:51.351203Z,1003,C16AD8BI,143,"English, Hindi, Punjabi",High school diploma/A-levels,71,Female,Asian,India,United Kingdom,United Kingdom,English,No,Part-Time
